Category,Service,Area of Work,Pricing Model,Certification,Type,Included,Possible extras,Conditions & Warnings
Exterior,Architect,Not applicable,Total price,Yes,New Build; Extension; Refurbishment,Initial Consultation; Needs Analysis; Design Schematics; 2D/3D Plans; Planning Application; Material Selection; Lighting Design; Budget Forecasting; Contractor Liaison; Site Supervision; Design Revisions; VR Walkthroughs; Photorealistic Renders; Bespoke Interior Design; Sustainability Consultancy; Tender Management; Project Management; Aftercare Support; Detailed Costings; Building Type; range m2 living area,Additional Revisions; VR Walkthroughs; Photorealistic Renders; Bespoke Interior Design; Sustainability Consultancy; Tender Management; Project Management; Aftercare Support; Detailed Costings,Title Deeds Required; Timely Feedback Crucial; Planning Delays Possible; Extra Costs Complex Projects
Exterior,Demolition Plan,Not applicable,Total price,Yes,Terraced House; Semi-Detached House; Detached House; Room; Studio; Flat; Garage; Commercial Unit; Industrial Unit; Office; Storage Unit; other,Site Survey; Hazardous Materials Survey; Reusable Materials List; Full Material Inventory; Photographic Survey; Demolition Waste Plan; Waste Management Advice; Standard Compliance Report; Laboratory Testing; 3D Digital Survey; Reuse Strategy Advice; Demolition Contractor Coordination; Subsidy Applications; range m2 Site Survey Area,Laboratory Testing; 3D Digital Survey; Reuse Strategy Advice; Demolition Contractor Coordination; Subsidy Applications,Full Site Access; Building Plans Required; Council Notification Mandatory; Delays Asbestos Finding
Exterior,Asbestos Removal,Not applicable,Total price or m² of material,Yes,Roofing; Flooring; Boiler Insulation; Ceiling; Walls; Cladding; Chimney; Flue Pipes; Insulation; Fireproofing; Cement Board,Site Setup; Negative Pressure Units; Roof Sheet Removal; Licensed Waste Transport; Certificate of Completion; Pipe Lagging Removal; Crawl Space Containment; Wall Ceiling Removal; Final Air Monitoring; New Roof Installation; Structural Repairs; Expedited Removal; Full Project Management; Duct Deep Clean; Structural Damage Repair; range m2 material,New Roof Installation; Structural Repairs; Expedited Removal; Full Project Management; Duct Deep Clean; Structural Damage Repair; Ongoing Monitoring Contracts,Unobstructed Roof Access; Public Building Permits; Weather Delays Possible
Exterior,Demolition,Not applicable,Total price or m² of material or per hour,No,Strip Out; Waste Clearance; Soft Strip; Full Demolition,Internal Wall Demolition; Floor Ceiling Removal; Waste Removal; Dust Suppression; Structural Element Salvage; Materials Inventory; Full Structure Demolition; Site Clearance; Ground Levelling; Surface Reinstatement; Building Type; Material Salvage; Low-Dust Methods; Reuse Value Report; Salvage Logistics; Surface Reinstatement; range m2 material,Material Salvage; Extra Skip Hire; Low-Dust Methods; Reuse Value Report; Salvage Logistics; Surface Reinstatement,Building Must Be Empty; Utilities Disconnection Required; Noise Dust Nuisance; Demolition Permit Required
Exterior,Skip Hire,Not applicable,Total price or per day,Yes,Inert Waste; Timber Waste; Green Waste; Hazardous Waste,Skip Delivery; Skip Collection; Waste Processing; range Period; Waste Segregation; On-Site Shredding; Site Safety Officer; m3 Skip Size,Express Collections; Extended Hire; Skip Swap; Waste Segregation; On-Site Shredding; Site Safety Officer,Adequate Space Required; Public Highway Permit; Hazardous Waste Excluded; ADR Information Required; Special Storage Needed
Exterior,Groundworks & Foundations,Strip Foundations,Total price or m² of work surface,No,Concrete Foundations; Reinforced Concrete,Trench Excavation; Formwork Installation; Steel Reinforcement; Concrete Pour; Levelling Curing; Standard Concrete Mix; External Waterproofing; Perimeter Drainage; Enhanced Reinforcement; range m2 Area,Perimeter Drainage; Enhanced Reinforcement,Soil Survey Mandatory; Weather Affects Schedule; Accurate Setting Out
Exterior,Groundworks & Foundations,Raft Foundation,Total price or m² of work surface,No,Reinforced Concrete Slab; Insulated Slab,Ground Excavation; Formwork Insulation; Reinforcement Fixing; Concrete Pour Finishing; Integrated Floor Insulation; Vapor Barrier; Service Ducts; range m2 Area,Integrated Floor Insulation; Vapor Barrier; Service Ducts,Level Surface Essential; Heavy Building Calculation; 28 Day Curing Period
Exterior,Groundworks & Foundations,Piled Foundations,Total price or m² of work surface,No,Precast Concrete Piles; Steel Tubular Piles; Screw Piles,Pile Driving Drilling; Precast Pile Installation; Load Testing; Ground Beam Connection; Basic Load Test; Ground Improvement Piles; Low-Vibration Techniques; range m2 Area,Low-Vibration Techniques; Adjacent Building Monitoring; Ground Improvement Piles,Noise Vibration Nuisance; Soil Investigation Required; Permit Dense Areas
Exterior,Groundworks & Foundations,Basement Construction,Total price or m² of work surface,No,Poured Concrete; Prefabricated Basement,Excavation Shoring; Formwork Reinforcement; Concrete Pour Walls; Tanking Drainage; Access Stairs; Standard Concrete Basement; Basic Tanking Ventilation; Premium Finishes; Emergency Egress; High Water Resistance; range m2 Area,Premium Finishes; Emergency Egress; High Water Resistance,Permit Deep Excavation; High Water Table
Exterior,Structural Works,Brickwork & Blockwork,Total price or m² of material,No,Bricks; Blocks; Calcium Silicate; Aircrete Blocks,Setting Out; Loadbearing Walls; Lintel Installation; Pointing; Cavity Wall Insulation; Wall Finishing; Existing Wall Repair; Decorative Pointing; External Wall Insulation; Stone Masonry; Wall Reinforcement; range m2 material; building type,Decorative Pointing; External Wall Insulation; Stone Masonry; Wall Reinforcement,Structural Calculations Required; Cracking Risk
Exterior,Structural Works,Concrete Framing,Total price or m² of material,No,In-Situ Concrete; Precast Concrete,Formwork Reinforcement; Concrete Pouring; Precast Element Installation; Beam Floor Installation; Curing Protection; Foundation Slabs; High-End Finishes; Fire Acoustic Additives; Bespoke Structures; range m2 material; building type,High-End Finishes; Fast-Track Concrete; Fire Acoustic Additives; Bespoke Structures,Crane Pump Required; Curing Times Critical; Structural Engineer Approval
Exterior,Structural Works,Steel Framing,Total price or m² of material,No,Structural Steel; Composite Construction,Steel Fabrication Erection; Frame Erection; Anti-Corrosion Treatment; Concrete Composite Integration; Fire Protection; Cladding Support; Color Coating; Acoustic Fire Linings; Demountable Frames; range m2 material; building type,Color Coating; Acoustic Fire Linings; Demountable Frames,Structural Calculations Required; Building Regs Compliance
Exterior,Structural Works,Timber Frame,Total price or m² of material,No,Timber Frame; Hybrid Construction,Panel Fabrication Erection; Wall Construction; Roof Construction; Integrated Insulation; Vapor Control Layer; Sheathing Board; Foundation Connection; Standard Insulation; Fire-Resistant Board; Enhanced Soundproofing; Concrete Composite Floor; Sustainable Timber; range m2 material; building type,Fire-Resistant Board; Enhanced Soundproofing; Concrete Composite Floor; Sustainable Timber,Building Regs Compliance; Structural Engineer Required
